stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,55,0,0,3,0,0,0,1,0,0,0
72hpf,1.97,0,0,3.38,0.28,0,0,0,0,0,0,0,0,0,5.64,1.13,0,11.56,0,0.56,0.28,6.2,10.15,0,0,10.43,0.28,0,5.07,1.41,0,0,0
21Day,1.11,0,0,8.14,0,0.74,0,0,0,0,0,0,1.11,1.85,0,1.11,0,10.36,0,2.59,0,2.22,3.7,0,1.11,5.18,0.74,0,1.85,1.48,0,0,0.74
3Month,0.1,0.31,0.1,4.37,0,0,0.1,0.1,0.21,0.1,1.46,0.52,0,4.47,0.52,1.98,0.83,3.12,0.83,0.1,1.04,0.31,0,0.83,0.42,0.21,0.1,0.31,0.1,0.42,0.21,18.41,0.42
22Month,0,0.27,0.27,1.37,0,0,0,0.27,0.82,0.55,1.37,0,0,2.19,0,0.14,0.82,2.32,0,0.41,0,0,0.27,0.14,0.14,0.27,0,0,0.55,0,0,0.14,0.14
