stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,12,0,0,3,0,0,0,0,0,0,0,0
72hpf,4.51,2.54,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,18.04,0,0.28,1.69,0,3.95,1.69,0,0,20.29,0,0,0.85,0,0.28,0,0,0
21Day,4.07,1.48,0.37,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0.74,0,28.86,0,0,5.18,0,1.85,1.11,0,0,16.65,1.11,0.74,0,0.37,0.37,0.37,0,0.37
3Month,0,1.35,0.83,0.1,0,0,0.1,0.21,0.1,0.42,0,5.3,0.83,0.52,0,0.52,0.31,9.36,0.94,0,0.83,0.31,0.1,0,0.1,0.1,0.83,0,1.04,0.52,0,0.1,5.72,0.31,0.21
22Month,0,1.09,0.55,0,0,0.14,0,0,0.14,0.27,0.41,8.88,0.14,0.41,0.14,0,0.41,3.96,0.27,0.27,0,0,0,0,0.14,0,0.14,0,0.27,0.27,0,0,0.96,0,0.27
