stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,0.28,1.41,0,0.28,14.66,1.41,0.28,0,2.25,0,0,0.85,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0,0,0.74,0,0,0.37,0,0,1.11,0.74,2.59,0,0,4.44,0.74,0,0,1.85,1.11,0,1.11,0.37,0,0,0.74
3Month,0,0.42,0.52,3.74,0,0,0.21,0.62,0.62,0.83,0.62,0.31,1.25,0.21,0.83,1.87,2.18,0.21,1.14,0.42,0.21,0.21,0.31,0.1,0,1.25,0,0,2.18,1.04,2.29
22Month,0,0,0.14,0.96,0,0.14,0,0,0.82,0.68,0.27,0.14,0.82,0,0,0.82,0.41,0.14,0.41,0.14,0,0.14,0,0.14,0,0,0,0,0.14,0,0.41
