stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,1.41,0.56,0.28,0.56,0.28,0,0.56,0,0.28,0,6.48,2.82,29.03,0.56,0,3.38,0,0,0
21Day,0,0,0.74,0,0.37,0.37,0.74,0,0.37,0.37,3.7,1.11,9.99,0,0.37,0.37,0.37,0.37,0.37
3Month,0,0,0,0,0,0,0.1,0.21,0,0,0,0,0.31,0,0,0,0,0,0
