stage,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell
72hpf,0,0,0,0.85,0
21Day,0.37,0,0,0.37,0.37
3Month,0,0,0.21,0.1,0
22Month,0.14,0.27,0,1.78,0
