stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,36,0,0,1,0,0,0,0,0,0
72hpf,0,0.56,0,1.41,0.85,0,0,0,0,0.28,0,0.85,1.13,0,3.1,0,0.28,16.07,6.2,0,0.28,1.41,0,0,1.13,0.28,0,0
21Day,0.74,0,0,2.59,1.48,1.11,0,0,0,0.37,0,0,1.11,0.37,1.48,0,0,3.7,4.44,0,0,1.11,0.37,0.37,0,0.37,0,0.37
3Month,0,0.1,0.1,0.52,0,0,0,0,0.21,0,0.1,0,0.21,0,0.42,0.1,0,0,0,0,0,0,0,0.21,0,0,0.1,0.1
22Month,0,0.14,0,0.14,0,0.14,0.14,0.14,0.14,0.14,0.14,0,0,0.14,0.82,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0
