stage,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,T_cell
21Day,0,0,1.48,0,0
3Month,0,0,0,0.1,0.1
22Month,0.14,0.14,0,0,0.14
