stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,0,2.96,0,0
3Month,0.21,0.83,0,0,0.1,0,0.21,0,2.39,0.1,0.94,0.31,0.31,0.31,0.42,0.1,0.1,0,0,0,0,0.42,5.3,0,0,1.87,0.31
22Month,0.27,0.68,0,0.14,0,0.14,0.27,0.68,8.47,0.27,0.96,0,0.41,0.27,0,0,0,0,0,0.41,0.14,0,0.27,0,0,0,0
