stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,11.56,0.56,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,1.69,0.85,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,1.11,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.21,0.52,0.62,6.14,6.87,0,0.21,0.1,1.14,1.87,11.13,2.39,0,3.22,0.52,1.25,1.98,1.56,0.1,1.25,0.42,0.62,0.21,0.52,0.52,0,0.21,1.35,0.1,9.88,0.1,0.62,247.35,2.39
22Month,0,0.14,0,0,1.64,0,0,0,0.27,0.14,0.68,0,0.14,0.14,0,0.14,0.27,0.14,0,0,0,0,0,0.14,0,0.41,0,0,0,3.01,0,0,0.55,0
