stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,3,0,0,0,10,0,1,0,0,0,0,0
72hpf,0.56,0.28,0.28,0,0,0,0,0.56,1.13,0,0,1.41,0.28,0.28,2.25,0,0,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0.37,2.59,0,0.37,1.48,0.37,0,0.74,0.37,0,0,0,0
3Month,0,0.21,0.1,0.21,0.73,0.1,0,0.21,0.1,0.1,0,0,0,0,0.1,0,0.42,0.1,0.1,0.42
22Month,0,0,0,0,0.41,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0
