stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0,0,0.73,0.1,0,0.21,0,0.52,0,0,0.21,0.1,0.1,0.31,0.73,0,0.1,0,0.1,0.1,1.77,0,0,0.1,0.21,0.21
22Month,0.14,0.27,0.41,0,0.14,1.5,0.68,6.83,0.41,0.14,1.23,0,0,0.82,1.37,0.55,0.14,0.14,0.27,0.14,0.14,0.27,0.14,0,0,0.27
