stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,11,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0.28,0,0.85,0,0,0,2.54,2.54,0.56,0,0.56,0.28,0,0
21Day,0.37,0,2.22,0,0,1.48,0,0.37,0.74,1.48,2.96,0,0,0.37,0.74,0.74,0.74,0,0,0,0,0
3Month,0.1,0.31,1.77,0.21,0.52,0,0.31,0.1,1.14,0.52,0.73,0.21,0.1,0.21,0.1,0,0.21,0.21,0.1,0,0.21,0.52
22Month,0,0.14,0,0,0.41,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0
