stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,52,0,0,0,0,0,4,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,5.07,0,0,0,0,0.28,0.56,0,0,0,0,0,0
3Month,0,2.29,0.31,0,0,0,0.52,0.31,0.1,0.21,0.21,0.42,0.21,0,0,0.1,0.1,0.21,5.51,0.31,0.21,0.31
22Month,5.06,0.68,0,0,0.68,0.27,1.23,0.14,0.41,0,0.27,0.14,0,0.14,0.14,0,0.14,0,4.24,0,0,0
