stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0.56,0,0,0,0,0,0,0,0,0.28,1.13,0,0.28,3.66,2.25,4.23,0,0.28,0,0,1.13,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0,0.31,0.1,0.94,0,0,0.1,0.42,0.52,0,0.83,0.21,0,1.46,0.21,0.31,0.31,0.31,0,0,1.87,0.1,0.1,0.1,4.26,0,0,0,0.52,29.64,0.42
22Month,0,0.27,0.27,0.68,0,0,0,0.27,0.55,0.14,1.64,0.27,0.14,0.55,0.14,0.14,0.14,0.41,0,0,4.24,0,0,0,1.64,0,0,0,0,0.41,0.27
