stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22,0.28,0,0,0,0,0,0,1.13,0.28,0,0,0,0
21Day,0,0.37,0,1.11,0,0.37,0,0,0,0,0.37,0,0.37,0.74,0,0.74,0,0,0.37,11.84,0.37,0,0,0.37,0.37,0.37,0,1.48,2.22,0.37,0,0,0
3Month,0,0.1,0.1,0.62,0,0,0.1,0.1,0.21,0.62,0.21,0.1,0,0.31,0.31,0.52,0.31,0,0.21,0.21,0,0.21,0,0,0.1,16.02,0,0.1,0,0,0.21,17.06,0.52
22Month,0,0,0,0,0,0,0,0.14,0,1.91,0.14,0.27,0,0.14,0.14,0.14,0,0.14,0,0,0,0,0.14,0.14,0,2.46,0.14,0.82,0,0,0,0,0
