stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,1,1,4,0,0,0,0,3,2,14,0,0,0,4,148,0,0,3,0,0,0
72hpf,0.85,0.28,0.28,0,0,0,0.28,1.97,0,2.54,0,0,0.28,3.95,8.17,0,0.28,3.1,0,0.56,0
21Day,0.74,0.37,3.7,0.74,0.37,1.11,0,0.37,0,4.07,0,1.11,0,3.7,5.18,0.37,0,3.33,0.37,1.85,0.37
22Month,0,0,0.14,0,0,0,0,0,0,0.27,0.14,0,0,0,0,0.14,0,0,0,0,0
