stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell
24hpf,1,1,1,2,71,0,0,0
72hpf,0,0,0,6.2,0.28,0.28,0.85,0.28
21Day,0,0,0.74,1.85,0,0,0,0
