stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,1,0,0,0,1,0,0
72hpf,0,0,0,0,0.28,0,3.66,0.28,0,0
21Day,0,0.37,0,0,0,0,6.29,0,0.37,0.37
3Month,0.31,0,0,0.1,0,0,0.1,0,0,0
22Month,0,0,0.41,0,0.14,0.14,0,0,0,0
