stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
72hpf,0.85,0,0.28,0,0,0,0,0.85,0.28,1.41,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0.74,0,0.37,0,0.37,0,0,0
3Month,0,0.21,0.83,0,0,0.1,0.1,1.56,0,0,0.1,0.1,1.14,0.1,0.83
22Month,0,0,0.14,0.41,0.14,0,0,0.55,0,0,0,0,0,0,0
