stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,12.4,0.56,0,0.28,0,1.41,0.56,0
21Day,0,0.37,0,0,0,0,0,0.37,0,1.48,0.37,0,0,0,1.48,1.11,0
3Month,0.1,0,0.1,1.14,0.1,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0,1.14
22Month,0.27,0,0,1.23,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0
