stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0.85,1.13,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0,1.11,0,0,0,0,0,1.11,0.37,0.74,18.13,0.74,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,3.7
3Month,0,0,0.1,0.62,0,0,0.21,0.1,12.07,1.56,15.91,0.1,0.83,0.31,16.75,0.73,0,0.1,0.1,0.1,0,0.1,0.21,0.21,0.42,0.1,0,0.1,0.42,12.59
22Month,0,0.27,0,0.41,0,0,0,0,7.93,2.05,4.1,0.14,0.14,0,10.66,0.27,0.14,0,0,0,0,0.41,0,0,0.14,0,0,0,0,6.15
