stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,1.13,1.13,0,1.97,0,0,0,0,46.5,2.54,0,0.56,0.85,0,0,0.85,0.28,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.74,0,1.11,0,0,0,0.37,17.02,0.74,0,1.11,1.11,0.74,0,0,0.37,0,0,0
3Month,0,0,0.31,1.14,0,0.1,0.31,0,1.04,0.21,0,0.42,0,0.94,0.1,2.6,0.73,0.1,0.31,0.73,0,0.1,0.1,1.35,0,0.21,0.1,0,0,0,0.31,0.52
22Month,0,0.14,0,0.41,0,0,0.27,0.27,3.83,0.27,0.14,0.41,0,0.27,0.14,3.01,0.14,0,0,0.14,0.14,0,0.27,0.55,0,0,0.68,0.41,0,0.14,0,0.14
