stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0.28,0,1.13,0,0.28,0,0
3Month,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1
22Month,0,0.14,0.27,0.27,0,0.27,0.14,0.14,0,0,0
