stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,19,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,17.47,0,0,0,0,0,0,0,0.28,0,0,49.32,0,1.13,0,0,0,0,3.1,1.41,0,0.56,0,0,0,0,0,0,0
21Day,1.11,0.37,0,85.47,1.48,0,0.37,0,0,1.11,0,0.74,0,0.74,46.62,1.85,0.74,0,0,0.37,0,3.33,0.37,0,1.48,1.11,0,0,0.37,0,0,0.74
3Month,0.21,0.31,0,89.35,0,0.52,0.1,0.73,12.9,2.7,1.35,0.31,1.46,1.35,34.22,6.03,2.08,0.21,0,0.42,0.1,0,0,0.52,0.31,1.04,1.04,0.1,0,2.81,0.83,1.87
22Month,0,0.27,0.27,21.04,0,0.27,0,0,10.52,6.29,0.55,0.41,0.82,0,7.79,2.46,0.41,0,0.41,0.14,0,0,0,0.14,0,0,0.41,0,0,0.27,0,0.27
