stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.11,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.1,9.05,0.1,0.1,0.31,0.1,0.21,0.83,0.52,0.42,0.42,12.38,0.42,0.1,0,0.1,0.42,0.1,0.1,0.1,0.21
22Month,0,2.87,0,0,0.55,0,0.14,0.27,0,0.27,0.14,6.15,0,0,0.14,0,0,0,0,0,0
