stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,T_cell
21Day,0.37,0.74,0,0,0,1.48,0.37,0
3Month,0,0.73,0.83,0.1,0.31,0,0,0.1
22Month,0,0,0.41,0,0.41,0,0,0
