stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,1,5,0,0,0,2,0,0,0,1,4,1,7,3,59,0,0,0
72hpf,0.56,0.28,0.28,0.85,0,0,0,0.28,0,0,0.56,0,1.97,0.85,4.23,0.56,0,0
21Day,0.74,1.85,0,4.81,0.74,0,0,1.11,0,0,0,0.37,1.48,2.59,1.85,0.37,0,0
3Month,0,0,0,0,0,0,0.42,0.21,0.1,0,0,0,0.1,0,0,0,0.21,0.42
22Month,0,0,0,0,0,0,0.96,0.14,0,0,0,0,0,0,0,0,0,0
