stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,9.02,0,0.28,0,1.97,0.28,0,0,0,0,0.28,0,0,0,0
21Day,0,0.74,1.11,0,0,0,0,0,0.37,0,2.96,0,0,0,0,0,0.37,0.37,0.37,0,0,0.74,0,0,0
3Month,0,0.1,0.52,0.1,0,0,0.21,0.1,0,1.14,0.31,0,0.1,0,0,0,0,0,0.1,5.1,0,0,0.1,0.1,0.1
22Month,0,0.68,1.09,0.82,0.14,0.14,0.55,0,0,6.42,0,0.14,0,0.14,0,0,0,0,0,3.96,0,0,0,0,0
