stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,3.66,0.28,0.56,1.13,0,22.27,0,0,1.97,0.28,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,5.55,1.11,1.48,13.69,0.37,9.62,0,2.22,0.37,1.11,0,142.07,0,2.96,5.18,0.74,6.66,4.44,18.5,0,1.48,2.96,0.37,21.83,9.99,0.37,1.85,0,9.25,12.95,0,2.22,1.85,2.96,0.37,0,1.11
3Month,0,0,0,0.42,0,0,0,0,0,0.31,0,14.25,0,0,1.04,0,0.21,0.83,0.42,0.1,0.1,0.21,0,0,0,0,0,0,0.1,0.1,0.21,0,0,0,0,0.1,0.1
22Month,0.55,3.28,2.19,7.11,0,0,7.65,0.27,0.82,6.83,1.09,1465.16,2.87,0.14,3.14,0.82,1.37,4.24,8.34,0,25.69,4.37,0,0.68,0,0.96,2.46,0.27,0.55,0.55,0.27,0.96,0.14,0,0.14,0,0.96
