stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,1.11,0,0,0,0
3Month,0.1,0.1,0.52,5.51,0,0.1,0.1,1.04,1.46,6.35,1.98,0.1,3.54,1.04,1.87,1.77,1.14,0.1,0.21,1.14,0.21,0.1,0.21,0.73,0.1,0,0.21,1.35,39.53,0.42,0.73,185.88,1.35
22Month,0,0.14,0,0,0,0,0,0.14,0,0.68,0,0,0.82,0,0,0.55,0.14,0,0.27,0,0,0.14,0,0.14,0.14,1.5,0.14,0.27,33.62,0,0,1.09,0
