stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,2.54,0,0,0,3.1,0,1.13,0,0,0,0,0
21Day,0.37,0.74,0,0,0,0,0,0,0,0.37,0,0,0,4.07,0,0,0,1.11,0,2.22,0,0,0.74,0,0
3Month,0,0.1,0.1,1.25,0.1,0,0.31,16.43,0.42,0.1,0.42,0.31,0.42,1.35,0,0.21,0.21,0,0,0,0.21,0.21,0,0.1,0.21
22Month,0,0.41,0,0.14,0,0.14,0.68,5.33,0.14,0,0.41,0.14,0.14,0.27,0.27,0,0,0,0.14,0,0,0,0,0,0
