stage,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,6,0,0
72hpf,0,0.28,0,0,0,0,0.28,0,0.28,0.85,0,0
21Day,0,0,0,0,0,0,0,1.48,0,1.11,0,0
3Month,0.21,0,0.42,0.1,0.1,0.1,0.1,0.42,0,0,0.21,2.18
22Month,0,0,0.55,0,0,0,0,0.14,0,0,0,0
