stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,14.8,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0,1.14,0.1,0.31,0.94,0,5.51,26.32,0.21,1.98,0.31,0.83,0.52,1.14,0.1,0,0.1,0.21,0.1,0.1,0,0.21,0.1,0.62,0,0.62,0.31,1.35
22Month,0.14,0.82,0.27,0.68,0,0,1.37,1.09,11.34,14.76,0.27,1.5,0,0,1.09,1.91,0.14,0.55,0,0,0.14,0.14,0.27,0,0,0,0.27,0.14,0,0.41
