stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0.28,0,0,9.86,1.13,0.28,0,0,0.28,0,0.28,0
21Day,0,0,0,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,3.7,0.37,0,0,0,0,0.37,0,0
3Month,0,0,0.1,1.46,0,0,0.1,0,4.06,0.1,0.42,0.73,0.31,0.52,0,0.1,0,0,0,0.31,0.73,0,0,0,0.31
22Month,0.27,0.14,0,0.27,0,0,0.27,0.14,10.93,0.14,0.96,0.14,0.55,0.55,0.14,0.14,0,0,0,0.14,0.14,0,0.14,0,0.14
