stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,4,0,0,0,0,1,0,0,0,1,4,2,11,0,0,0,1,107,3,0,0,0,0,1,0,0
72hpf,0.56,0.56,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.56,0,0.85,0,0,0,2.82,7.61,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,0,1.11,3.33,0,0.74,0,0,0,0.37,0.37,0,0,0.37,0.37,0,0,0,0.37,1.11,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0,0.31,0,0.1,0,0.21,0,0.94,0.21,0.21,0.1,0.52,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,3.12,0,0,0,0.21,0.42
22Month,0,0,0.14,0,0,0,0,0.27,0,0.27,0.14,0.27,0,0,0.14,0.14,0.14,0,0,0,0,0,0,0.41,0,0,0,0,0
