stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0.85,0,0,0.28,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0.74,0,0,0,0,0,0,0,0.74,0.37,0,0,0.74,0,0.74,0,3.33,0.37,0,0,0.37,0.37,0.37,0,0.74,0.37,0,0,0.37
3Month,0,0.1,0,1.35,0.1,0,0,0,0.42,0,0.31,0.21,0,0.42,0.21,0.62,0.73,0.62,0,0.1,0.1,0,0,0.1,0,0,0.1,1.04,0.1,0,0,0,0.1,0.21
22Month,0,0.14,0,0.14,0,0,0.14,0.14,0.55,0.41,3.55,0.27,0.14,0.41,0,0.27,1.5,0.41,0.14,0.27,0,0.55,0,0.14,0.27,0,0.14,0.96,0.14,0.27,0,0.14,0,0
