stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,91.76,2.22,0,0,0.37,0,0.37,0,0.74,0,1.11,19.61,21.46,2.22,0,0,0,0,3.33,0.74,0,0,1.11,0,0,1.11,0.37,0.37,0.37,0,0,0
3Month,0.21,0.1,28.81,0,0,0.31,0.73,0,2.08,8.53,0,0.52,2.39,1.25,1.35,1.25,0.21,0.1,4.47,1.25,0,0,0.21,0.21,0.31,0.21,1.77,0,0,0,0,1.35,0.62,0.83
22Month,0.55,0.41,25.28,0,0.14,0.27,0.96,0.14,5.06,2.19,0.14,1.91,0.27,0.55,14.62,0.82,0.27,0.41,1.23,0,0,0,0.14,0.14,0.14,0.14,3.96,0.14,0.27,0,0.14,0,0,0.41
