stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0.85,1.13,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0.37,0,0,0,0.37,0,1.85,0,0,1.11,0.74,0,0,0,0.74,0,0.37,0.74,0,0,0.37,0,0.37,0,0.37
3Month,0.1,0.1,0.42,2.5,0,0,0.21,0.73,0,20.18,0.31,0,4.06,0.31,0.42,0.52,1.14,0.1,0,0.21,0.94,0,0,0.21,0.31,0.42,0.1,0,0.1,1.04
22Month,0,0,0,0.55,0,0,0,0.82,0.27,8.06,0.14,0,1.37,0,0.14,0,0.27,0.14,0.27,0.14,0,0,0.14,0.14,0,0,0.14,0.14,0,0.41
