stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,0,18.88,3.1,0,0,0,0.85,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,9.25,1.85,0,0,0.37,0,0,0.37,0.37,0,0,0.37
3Month,0,0.1,2.29,0,0,0.1,0.1,0.42,0,0,14.67,0.21,0.1,0.52,0.21,0.73,0.52,0.1,0.1,0,0.1,0.31,0.42,0,0,0.31,11.65,0.1,0.1,0,0,0.1,31.21,0.31
22Month,0,0,0,0,0,0,0,0,0.55,0,2.73,0,0,0.14,0,0,0.14,0.27,0,0.27,0,0,0,0,0.14,0,1.23,0,0,0,0,0,0,0
