stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0.56,0,0
21Day,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.21,0,0.1,0,0,0,0.1,0.31
22Month,0.27,0.14,0.27,0.82,0.41,0.14,0,0,0.27
