stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.51,0,0.28,0,0.56,0,0,0,0.28,0
21Day,0,0.74,0,0,0,0,0,0,1.85,0,0.74,0,1.48,0.37,0,0,0,0
3Month,0.1,2.39,0.1,0,0,1.04,0,0.31,0.1,0.42,0.31,0.1,0,0,0.1,0.42,0,0
22Month,0,0.41,0.14,0.27,0.14,2.05,0.14,0,0,0,0.14,0,0,0,0,0,0,0.14
