stage,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,T_cell
72hpf,0.28,0,0,0,0,0,3.38,0.28,0,0
21Day,0.37,0,0,0,0.37,0,3.7,0,0.37,0
3Month,0,0.42,0.1,0.1,0,0,0,0,0,0.1
22Month,0,0.68,0,0,0,0.14,0,0,0,0
