stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,1,0,1,3,0,1,22,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0.28,0,0,0,0,0,0,1.13,0,0.28,0,9.86,4.51,0.28,0.85,0.28,0,0.28,0,0,0
21Day,0.74,0,1.48,0,0.37,0,0,0.74,0,0,0.74,0,1.85,0.37,2.22,1.11,0.37,0,0,0,0,0,0,0
3Month,0,0.1,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.21,0,0.1,0.21,0
22Month,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14
