stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0,0.31,0,0,0,0.42,0,0.1,0.1,0.1,0.1,0.31,0.1,0.21,0.1,0.1,0.1,0,0,0.21,0,0.21,0.21,0
22Month,0.27,0.68,0.14,1.37,0.41,2.73,0.96,0.41,0.27,0.27,0.27,0.55,0.68,0,0.14,0,0,0.14,0.14,0.27,0.14,0,0,0.14
