stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,1,1,0,0,0,1
72hpf,0,0,0.28,0.28,2.54,0.28
21Day,0,0,0,0.37,6.29,0.37
