stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,2.54,0.28,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,1.11,0,0,0.37,0.37,0.37,0,0,0.37,0,1.48,0,0.37,0,0,0,0,0,0,0,0,0.74
3Month,0.52,0.62,17.16,0.42,0,0,0.21,0.31,3.12,8.32,4.06,1.87,2.29,1.46,0.83,6.03,1.46,0.52,0,0.73,0.62,5.93,0,4.26,0.1,0.73,4.78,0.62,0,0.31,0.21,178.6,6.66
22Month,0.14,0,4.1,0,0,0.14,0.14,0,2.32,5.06,0.41,2.6,0.82,0.14,0.14,3.28,0.55,0,0.14,0.14,0.14,1.09,0,0.68,0,0,2.87,0.27,0,0,0.14,0.14,3.42
