stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,12,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,9.58,5.36,0,0.28,0,0,3.38,1.97,1.13,0,0,0.28,0,0,0,0,0,0,0,0
21Day,1.11,0,6.29,14.43,1.48,0,0,0,0,0,0.37,0,0.37,0,18.87,3.33,32.19,1.11,0,0.37,2.22,3.33,1.11,0,0,0.37,0.74,0.74,0.37,0.37,0.37,0,0,0.37
3Month,0.21,0.21,3.64,20.6,0,0,1.98,0.94,0,0,3.22,0.94,0.31,1.25,39.21,1.87,31.1,1.35,0.52,0.21,24.03,1.56,0,0.73,0,0.21,0.31,5.3,0.1,0,0,0.42,3.54,0.73
22Month,0,0.27,0.82,4.92,0,0.14,2.19,0.55,0.14,0,4.37,0.55,0.27,0.55,8.75,0.82,10.66,0.41,0,1.64,0.68,0.27,0,0.96,0.14,0,0.14,8.2,0,0,0,0.14,0,0.14
