stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
21Day,0,0.74,0,0,0,0.37,0,0,2.22,0,0,0,0,0,0.37,0
3Month,0.1,1.25,0.1,0.21,0.52,0,0.42,2.81,10.51,0.1,0.1,0.1,0.1,0.1,0,0
22Month,0,0.14,0,0.41,1.64,0,0.14,0.68,3.14,0,0,0,0,0.14,0,0.14
