stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.28,44.81,3.1,0,0.28,0,0,0.56,0.28,0,0
21Day,0,1.11,0,0,0,0,0,0,0.37,0,0,25.53,0,0.74,0,0,0.74,0,1.11,1.85,0
3Month,0,0.1,0,0,0,0.21,0.21,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0,0.14,0.14,2.32,0.14,0.41,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0
