stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,3,0,0,0,0,2,0,2,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,3.1,0.28,0,0.28,0,0.56,0,0,0,0,1.97,0,0.28,7.89,0.28,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.28
21Day,0,7.77,0.37,0,0,0,1.48,0,0,0,0,4.07,0,0.37,11.1,0.37,0.74,0,0,0,0,0,0.74,0,0,0.37,0,0,2.22
3Month,0,12.59,0,0.1,0.1,0.21,12.27,0,0,1.56,56.27,0.42,0.31,0.73,12.38,4.68,0.31,0.1,0.1,0.1,0.1,0,0.83,0.1,0.1,0,0.21,0.31,2.91
22Month,0.14,0.82,0,0.14,0,0.14,3.01,0.14,0,0.96,6.15,0.41,0.14,0,0.55,1.37,0,0,0.14,0,0,0,0,0,0,0,0,0,1.91
