stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,5,40,14,0,0,0,0,0,0,0,0,2,1,1,67,0,0,0,0,4,390,0,0,24,0,0,0,0,0,1,0
72hpf,7.33,2.54,3.66,0.85,5.07,0,0.28,0,0,0,0,1.69,4.79,1.41,14.94,0,0.85,0.85,0,370.63,100.62,0.28,0.28,27.06,0,0,13.81,0,0.85,0.85,0
21Day,4.07,0.37,2.96,0,3.33,0.37,0,0,0.37,0.74,0.37,0.37,1.85,0.37,15.54,0,0,1.48,0,104.71,35.89,0.37,0.74,6.66,2.96,0,3.7,0.37,1.85,0.74,0.37
3Month,0,0,0.21,0,0,0,0,0,0.42,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0.21,0,0,0,0,0.1
22Month,0,0,0.41,0,0,0,0.14,0.14,2.19,0,0,0.14,0,0,0.55,0,0,0.14,0.14,0,0,0,0,0,0,0.55,0,0,0,0,0
