stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0.28,10.43,0.28,0,0,0,0,0,0,1.13,0,0.28,0,0.28,0,0.56,0,0.28,0,0,0,0,0,0
21Day,0,0,0,12.58,0,0,0,0,0,0,0,1.48,0,0,0,1.11,0.74,0,0,0.37,0.37,0,0,0,0,0
3Month,0,0,1.25,2.91,0,0.1,0.83,0,0.1,0.31,0.21,0.42,0.31,0.42,0.21,0.42,0,1.98,0.1,0,0.21,0.21,0,0.1,0.42,0.1
22Month,0.27,0.14,0.68,1.09,0,0.27,0.82,0.14,0,0,0.14,0.27,0.14,0.14,0,0,0,2.19,0,0,0,0.27,0.14,0.14,0,0
