stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,103,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0
72hpf,190.53,0,0.28,1.41,0,0,0.28,0,0,0,0,0,0.28,3.1,0.56,1.69,0,0.28,0.28,14.09,9.3,0,0,1.69,0,0,2.25,0,0,0,0
21Day,122.1,0.37,3.7,1.85,0.37,0,0,0,0,0,0.37,0.37,0,1.85,0.37,5.18,0,0,1.11,6.66,2.96,0,0,1.11,1.48,0,0,1.48,0.37,0,0
3Month,2.39,0.52,0.42,0,0,0,0.1,0,0.94,0.31,0.1,0.21,0,0.21,0.21,0.52,0.1,0,0.83,0,0,0,0,0,0,0.1,0,0,0,0.21,0.21
22Month,0.41,0.14,0.68,0,0,0.14,0.27,0.14,8.06,0.41,0.27,0.96,0,0,0.41,0.55,0,0.27,0.14,0,0,0.14,0.14,0,0,0.14,0.27,0,0.14,0,0.27
