stage,Epithelial_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,1,0,0
72hpf,0,0,2.25,0.56,0,0
21Day,0.37,0.37,1.48,0.74,0.37,0.74
