stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0.28,2.25,0.28,0.28,48.48,3.66,0.85,0,0.85,0,0,0.85,0,0.28,0
21Day,1.11,0,0,3.33,0.37,0,0,0,0,0,0,0,0.37,0.37,0.74,0,0.74,1.85,0,0,15.17,0.37,0.37,0,0.37,0.74,0,0.37,0,0.37,0
3Month,0,0.1,0.1,0.83,0,0,0.1,0,0.1,0,1.98,0.1,0,0.21,0.31,0.52,0.1,0,0,0.1,0.1,0,0.21,0,0,0,0.31,0,0,0,0
22Month,0,0.14,0,0.82,0,0,0,0.14,0.41,0.41,11.62,0,0.14,0.14,0.27,0.14,0.27,0,0.14,0,0,0,0.68,0.14,0,0,0.41,0.14,0.14,0,0.14
