stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,0,1,1,0
21Day,0.37,0.37,0,0.37,0.37,1.11,0.37
22Month,0,0,0.27,0,0,0.14,0
