stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,0.37,0,0,0,0,0,1.48,0,0,0.37,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0.37
3Month,0,0.1,0.21,0.1,0.21,0,0,26.42,0.31,0,0.21,0.1,0.83,0.21,0.1,0.42,0.31,1.98,0,0,0.1,0.31,0.1,0.1,0.62
22Month,0.14,0,0,0,0.27,0.14,0.14,12.44,0.14,0,0,0,0.41,0,0,1.5,0.27,0,0,0.27,0,0,0,0,0.41
