stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,3,0,0,0,1,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0
72hpf,0.28,2.54,0.28,0,0,0,0,0,0,0.28,27.62,0,0,0,0,2.54,0.85,0,0,0,0
21Day,0,17.76,2.22,1.11,0,0,0,0,0.37,0.74,4.44,0,1.11,0,0,0.37,0,0,0.37,0,0.37
3Month,0,2.39,0,0,0.1,0,0.31,0,0.1,0.21,0,0,0,0,0,0,0,0.31,0,0.31,0
22Month,0,0.27,0,0,0,0,0.55,0.14,0,0,0,0.14,0.27,0.14,0.14,0,0,0,0,0,0
