stage,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.1,0.1,0,0,0.1,0.52,0.1,0.1
22Month,0.14,0.55,0.14,0.14,0.14,0,0,0,0.14
