stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,0,0.85,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0,0.56,0,110.48,5.92,0.28,1.13,1.97,0,0,1.97,0,0,0,0,0
21Day,1.11,0,1.11,0.37,2.59,0,0.37,0,0,0,0,0.74,0,0,0.37,0.37,1.48,0,29.23,1.48,0,2.59,1.48,0.74,0,0.37,0.37,0.37,0.74,0,0.37
3Month,0,0.52,0.62,0,0,0,0,0.1,0.1,1.35,0.1,0.21,0.21,0.1,0.21,0.42,0.1,0.21,0.21,0,0,0.21,0,0.1,0,0,0,0,0,0.21,0.31
22Month,0,0.14,0.14,0,0,0.14,0.14,0,0.14,3.83,0.27,0,0.14,0,0.14,0.27,0.41,0,0,0,0,0.55,0,0,0.14,0.14,0,0,0,0,0.27
