stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,18,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0.56,0,0,0,0,0,3.1,0,0,0,1.13,1.13,0,0.28,0,7.05,3.1,0.28,0.56,1.41,0,0.28,4.23,0,0,0,0
21Day,0.74,0.37,0.74,0.37,0,0.74,0,0.74,0,0.74,0,7.4,0,0,0.37,1.11,1.85,0,0,0,5.92,0.74,0,1.11,0.37,0,0.37,3.33,0,0,0,2.59
3Month,0,0.31,1.46,0,0,0.1,0.21,1.87,0,1.87,0.73,3.95,0.21,0.1,0.21,0.73,0.73,0,0,0.1,0.1,0.21,0.42,0.52,0,0.1,1.35,0.1,0,0.1,0.52,2.29
22Month,0,0.82,3.42,0,0.14,0.27,0,2.46,1.37,2.87,0.27,3.28,0.27,0,0,1.91,0.41,0.14,0.14,0,0.14,0,0.27,0,0.14,0.14,1.5,0.14,0.14,0,0,0.68
