stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,1.13,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0.74,0.37,1.11,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0.1,2.18,0,0,0,0,0.83,0.52,0,4.37,1.77,0.1,0.42,0.31,1.25,0.73,0.52,0.1,0.1,0,0.1,0,0.21,0,0.31,11.23,0,0,0.21,6.55,0.31
22Month,0,0.14,0.55,0.14,0,0.27,0.14,0.41,0.41,1.09,6.15,0.82,0.27,0.27,0,0.55,1.5,0.27,0,0,0,0,0.14,0,0.14,0.14,1.5,0.14,0.14,0,0,0.14
