stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,4,19,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,13.25,7.61,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,12.12,0,0.56,0,8.17,2.54,0,0.28,0,5.36,0,0,0.28,0,0.85,0,0,0
21Day,1.11,0,0.74,42.18,1.11,1.48,0,0,0,0,0.37,0.37,0,0,1.85,0,2.59,14.43,1.85,14.8,0,1.11,0,7.77,2.22,0,4.81,0,5.18,2.59,0,0.74,0.74,0.37,0,0,1.48
3Month,0,0.31,0.73,17.37,0.73,0,0.1,0,0.1,1.46,1.25,0.1,5.62,1.04,0.21,1.98,0.83,6.87,1.66,4.89,0,0.21,0.1,0.31,0,0.42,1.46,0,0.1,0.21,1.77,0,0.31,0.31,1.04,1.14,2.18
22Month,0,0.55,0.14,9.98,0.14,0,0.14,0.14,0,0.55,2.19,0.27,19.95,0.27,0,2.05,0,1.09,0.82,1.23,0.55,0,0.14,0.27,0,0.27,0.27,0.14,0,0.14,1.78,0.27,0,0,0,0,0.55
