stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,6.48,4.23,0,0,0,0,0,0,0,0,0,1.41,0.28,0.56,0,0,0,2.54,0.28,0,0,0.85,0,0,0.28,0.28,0,0,0
21Day,0,0,0.37,0.37,1.11,2.59,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0,1.04,0.52,0,0,0.1,0.31,0,4.06,0.52,0.1,0.62,0.1,0.52,0.42,0.31,0.1,0,0.1,0.42,0,0.1,0,0,0.1,0.21,0,0,0.1,0.21,0.52
22Month,0,0,0.27,1.5,0.41,0,0.14,0.27,0.82,0.82,11.34,0.27,0.41,1.5,0.14,0.14,0.68,1.23,0,0.14,0.27,0.14,0,0.27,0.14,0.14,0,0,0.14,0.14,0.14,0,0.41
